churn,number_vmail_messages,total_day_calls,total_eve_minutes,total_eve_charge,total_intl_minutes,number_customer_service_calls
no,26,123,195.5,16.62,13.7,1
no,0,114,121.2,10.3,12.2,0
no,0,71,61.9,5.26,6.6,2
no,0,113,148.3,12.61,10.1,3
no,24,88,348.5,29.62,7.5,3
no,0,79,103.1,8.76,7.1,0
no,0,97,351.6,29.89,8.7,1
no,37,84,222.0,18.87,11.2,0
yes,0,137,228.5,19.42,12.7,4
no,0,127,163.4,13.89,9.1,0
no,0,96,104.9,8.92,11.2,1
no,0,88,247.6,21.05,12.3,3
yes,0,67,317.8,27.01,5.4,4
no,27,139,280.9,23.88,13.8,1
no,33,66,212.8,18.09,10.0,1
no,0,90,159.5,13.56,13.0,1
no,0,117,239.7,20.37,10.6,0
yes,0,89,169.9,14.44,5.7,5
no,0,112,72.9,6.2,9.5,0
no,0,103,137.3,11.67,7.7,2
no,0,86,245.2,20.84,10.3,0
no,39,115,191.1,16.24,9.5,0
no,0,73,155.5,13.22,14.7,3
no,0,109,258.2,21.95,6.3,0
no,0,117,215.1,18.28,11.1,1
no,0,105,201.5,17.13,10.3,1
yes,0,118,252.4,21.45,11.8,1
no,25,94,195.0,16.58,8.3,0
no,30,128,162.5,13.81,14.5,0
no,0,64,223.7,19.01,10.0,1
no,33,106,187.6,15.95,10.5,3
no,0,102,166.8,14.18,9.4,3
yes,41,85,203.9,17.33,14.6,0
no,0,82,282.2,23.99,10.0,2
no,0,77,165.3,14.05,9.2,3
no,0,67,225.8,19.19,3.5,1
no,28,97,213.0,18.11,8.5,2
no,0,120,162.6,13.82,13.2,3
no,0,133,134.6,11.44,7.4,2
no,24,135,217.2,18.46,11.0,1
no,0,108,269.8,22.93,7.8,3
no,0,57,211.1,17.94,6.8,1
no,0,112,190.2,16.17,11.4,2
no,0,117,267.5,22.74,9.3,2
no,0,67,249.3,21.19,10.2,1
no,0,98,180.0,15.3,8.0,1
yes,30,129,75.3,6.4,5.8,3
no,0,103,177.4,15.08,12.0,1
no,0,97,169.9,14.44,11.4,1
no,34,83,178.2,15.15,11.6,2
no,28,92,187.8,15.96,12.6,3
no,0,98,162.9,13.85,8.2,2
no,41,74,169.5,14.41,6.2,2
no,0,105,212.8,18.09,9.3,0
no,0,93,206.4,17.54,8.3,0
no,0,70,216.9,18.44,7.8,1
yes,0,101,169.1,14.37,13.8,4
no,0,93,170.5,14.49,11.8,3
no,46,97,188.2,16.0,12.1,0
no,0,83,148.9,12.66,8.0,3
no,0,146,226.7,19.27,7.3,1
no,0,109,157.2,13.36,12.0,0
no,0,90,223.3,18.98,6.1,1
yes,0,109,181.0,15.39,11.7,0
yes,0,117,77.1,6.55,8.2,4
no,0,72,164.4,13.97,8.2,2
no,0,98,155.2,13.19,15.0,1
no,0,99,303.5,25.8,13.2,1
no,0,104,204.8,17.41,12.6,3
no,24,101,259.7,22.07,9.8,1
no,29,104,225.9,19.2,8.6,0
yes,0,105,155.0,13.18,8.0,4
no,0,118,208.5,17.72,12.0,1
no,35,104,123.4,10.49,10.9,2
yes,0,125,247.6,21.05,13.9,1
no,0,61,194.9,16.57,11.1,1
yes,0,100,190.9,16.23,8.9,0
no,0,100,173.0,14.71,7.9,1
no,0,93,178.4,15.16,9.5,3
no,0,71,190.6,16.2,10.6,3
no,0,110,213.3,18.13,13.0,0
